time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2018-04-08,38,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,0,0,0,0
2018-04-15,56,0.0,0.505,0.484,0.011,28.52857142857143,10.714285714285714,0.7428571428571428,33.8,36.7,25.5,20.0,0.7253672804320647,0,0,1,0,0,0,0,0,0,0,0
2018-04-22,55,0.0,0.505,0.484,0.011,28.914285714285715,9.828571428571427,2.0571428571428574,34.4,38.2,24.6,18.0,0.7251885811884516,0,0,1,0,0,0,0,0,0,0,0
2018-04-29,74,0.0,0.505,0.484,0.011,28.142857142857142,7.7,0.3714285714285714,34.3,37.1,25.5,21.0,0.7250871599107983,0,0,1,0,0,0,0,0,0,0,0
2018-05-06,62,0.0,0.505,0.484,0.011,28.414285714285715,6.842857142857143,4.8,35.0,43.6,22.6,23.0,0.7248063377941957,0,0,0,1,0,0,0,0,0,0,0
2018-05-13,63,0.029,0.549,0.382,0.039,28.785714285714285,8.328571428571427,3.742857142857143,34.2,44.6,23.6,39.0,0.7120322579696285,0,0,0,1,0,0,0,0,0,0,0
2018-05-20,64,0.029,0.549,0.382,0.039,29.685714285714287,11.228571428571428,0.1999999999999999,33.8,51.1,26.3,21.0,0.7118830666728634,0,0,0,1,0,0,0,0,0,0,0
2018-05-27,52,0.029,0.549,0.382,0.039,28.414285714285715,6.471428571428571,1.457142857142857,34.0,36.4,24.6,30.0,0.711683540647741,0,0,0,1,0,0,0,0,0,0,0
2018-06-03,75,0.029,0.549,0.382,0.039,28.31428571428572,6.914285714285714,6.914285714285714,33.1,49.3,24.0,23.0,0.7116520323749292,0,0,0,0,1,0,0,0,0,0,0
2018-06-10,55,0.244,0.353,0.328,0.076,27.842857142857145,5.6000000000000005,17.37142857142857,32.9,45.0,22.9,24.0,0.7233291067824126,0,0,0,0,1,0,0,0,0,0,0
2018-06-17,59,0.244,0.353,0.328,0.076,29.728571428571428,9.55714285714286,0.5999999999999999,33.4,36.4,24.2,22.0,0.7233334348108164,0,0,0,0,1,0,0,0,0,0,0
2018-06-24,75,0.244,0.353,0.328,0.076,29.1,9.328571428571427,1.6857142857142855,33.1,42.5,23.6,22.0,0.7233840416908688,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,56,0.244,0.353,0.328,0.076,27.74285714285714,8.27142857142857,4.628571428571428,32.2,47.2,23.6,25.0,0.72328642519517,0,0,0,0,0,1,0,0,0,0,0
2018-07-08,44,0.307,0.467,0.173,0.053,27.042857142857144,6.528571428571429,9.285714285714286,31.5,36.4,23.0,24.0,0.6886913975758977,0,0,0,0,0,1,0,0,0,0,0
2018-07-15,41,0.307,0.467,0.173,0.053,28.24285714285714,9.985714285714286,9.114285714285714,31.7,41.8,23.1,21.0,0.6886500706750991,0,0,0,0,0,1,0,0,0,0,0
2018-07-22,56,0.307,0.467,0.173,0.053,28.25714285714286,10.285714285714286,8.371428571428572,32.3,51.1,21.9,22.0,0.6886975365995556,0,0,0,0,0,1,0,0,0,0,0
2018-07-29,50,0.307,0.467,0.173,0.053,28.914285714285715,11.514285714285714,1.2857142857142858,31.9,40.0,23.5,23.0,0.6886438345019706,0,0,0,0,0,1,0,0,0,0,0
2018-08-05,59,0.307,0.467,0.173,0.053,29.0,12.4,0.7428571428571429,33.0,41.0,24.9,25.0,0.6886628806573143,0,0,0,0,0,0,1,0,0,0,0
2018-08-12,42,0.355,0.477,0.103,0.065,27.81428571428572,10.028571428571428,5.485714285714286,32.4,40.3,24.0,21.0,0.6801235917173296,0,0,0,0,0,0,1,0,0,0,0
2018-08-19,66,0.355,0.477,0.103,0.065,28.571428571428573,10.342857142857143,0.9714285714285714,33.0,40.0,21.9,17.0,0.6802055852470263,0,0,0,0,0,0,1,0,0,0,0
2018-08-26,75,0.355,0.477,0.103,0.065,29.25714285714286,14.8,0.5428571428571428,33.0,40.3,24.9,17.0,0.6802063343300289,0,0,0,0,0,0,1,0,0,0,0
2018-09-02,75,0.355,0.477,0.103,0.065,28.24285714285714,9.814285714285717,10.171428571428573,33.2,43.2,22.5,19.0,0.6801494469439096,0,0,0,0,0,0,0,1,0,0,0
2018-09-09,49,0.488,0.419,0.07,0.023,28.15714285714285,8.585714285714285,1.9714285714285715,32.7,45.0,21.4,19.0,0.6698020042161388,0,0,0,0,0,0,0,1,0,0,0
2018-09-16,63,0.488,0.419,0.07,0.023,27.185714285714287,6.228571428571429,13.828571428571433,31.9,42.5,21.8,17.0,0.6698028510969775,0,0,0,0,0,0,0,1,0,0,0
2018-09-23,40,0.488,0.419,0.07,0.023,28.11428571428572,9.314285714285717,0.4857142857142857,32.0,37.1,24.8,20.0,0.6696129846400414,0,0,0,0,0,0,0,1,0,0,0
2018-09-30,51,0.488,0.419,0.07,0.023,27.557142857142857,8.385714285714286,5.228571428571429,32.5,37.4,23.7,22.0,0.6696091334139735,0,0,0,0,0,0,0,1,0,0,0
2018-10-07,51,0.488,0.419,0.07,0.023,29.15714285714285,12.028571428571428,0.0,33.0,45.4,26.1,19.0,0.6695447860444281,0,0,0,0,0,0,0,0,1,0,0
2018-10-14,60,0.154,0.635,0.183,0.029,29.185714285714287,11.62857142857143,2.8285714285714287,34.5,45.7,23.7,15.0,0.6760986907794099,0,0,0,0,0,0,0,0,1,0,0
2018-10-21,78,0.154,0.635,0.183,0.029,26.585714285714285,5.2,25.342857142857145,32.5,44.6,22.5,19.0,0.6760663119045175,0,0,0,0,0,0,0,0,1,0,0
2018-10-28,75,0.154,0.635,0.183,0.029,28.02857142857143,6.742857142857143,3.828571428571428,33.3,48.2,23.4,17.0,0.6758955942867189,0,0,0,0,0,0,0,0,1,0,0
2018-11-04,71,0.154,0.635,0.183,0.029,27.8,6.1571428571428575,1.3714285714285714,32.8,35.6,25.1,18.0,0.6757247976032442,0,0,0,0,0,0,0,0,0,1,0
2018-11-11,78,0.104,0.681,0.208,0.007,27.47142857142857,6.885714285714286,1.8,32.9,37.8,24.5,19.0,0.6714494421742527,0,0,0,0,0,0,0,0,0,1,0
2018-11-18,97,0.104,0.681,0.208,0.007,27.32857142857143,5.6571428571428575,3.4285714285714284,32.7,32.8,23.6,24.0,0.6713289689896086,0,0,0,0,0,0,0,0,0,1,0
2018-11-25,109,0.104,0.681,0.208,0.007,27.17142857142857,5.385714285714286,6.857142857142857,32.5,55.4,22.4,23.0,0.6711235693448487,0,0,0,0,0,0,0,0,0,1,0
2018-12-02,114,0.104,0.681,0.208,0.007,27.31428571428572,5.542857142857143,6.942857142857143,33.4,40.0,22.8,31.0,0.6708539674140442,0,0,0,0,0,0,0,0,0,0,1
2018-12-09,107,0.177,0.581,0.226,0.016,27.442857142857143,6.928571428571429,6.371428571428572,32.0,33.5,23.9,26.0,0.6811381081560808,0,0,0,0,0,0,0,0,0,0,1
2018-12-16,127,0.177,0.581,0.226,0.016,27.61428571428572,6.285714285714286,1.5714285714285714,32.3,26.6,24.9,23.0,0.6810761211120344,0,0,0,0,0,0,0,0,0,0,1
2018-12-23,160,0.177,0.581,0.226,0.016,26.885714285714283,6.4,11.05714285714286,31.9,37.4,23.7,25.0,0.6810413069913195,0,0,0,0,0,0,0,0,0,0,1
2018-12-30,205,0.177,0.581,0.226,0.016,27.728571428571428,7.357142857142857,2.8285714285714287,32.7,45.0,23.6,19.0,0.6810159558733353,0,0,0,0,0,0,0,0,0,0,1
2019-01-06,245,0.049,0.451,0.407,0.093,28.285714285714285,6.857142857142857,2.5428571428571423,33.8,45.7,24.7,23.0,0.730810029746686,0,0,0,0,0,0,0,0,0,0,0
2019-01-13,207,0.063,0.773,0.147,0.017,28.61428571428572,9.257142857142856,5.6000000000000005,33.4,43.9,24.8,25.0,0.6566118330940014,0,0,0,0,0,0,0,0,0,0,0
2019-01-20,221,0.063,0.773,0.147,0.017,28.31428571428572,12.385714285714286,0.9142857142857144,32.6,37.8,24.7,28.0,0.6558656042121345,0,0,0,0,0,0,0,0,0,0,0
2019-01-27,179,0.063,0.773,0.147,0.017,27.47142857142857,9.314285714285717,7.771428571428572,32.6,35.6,23.5,27.0,0.6547966772039046,0,0,0,0,0,0,0,0,0,0,0
2019-02-03,135,0.063,0.773,0.147,0.017,27.642857142857142,12.7,0.2857142857142857,31.9,47.5,25.0,29.0,0.6538920988420801,1,0,0,0,0,0,0,0,0,0,0
2019-02-10,232,0.09,0.737,0.13,0.043,27.81428571428572,12.585714285714284,0.1428571428571428,32.9,38.9,25.2,29.0,0.6593082238795804,1,0,0,0,0,0,0,0,0,0,0
2019-02-17,181,0.09,0.737,0.13,0.043,28.385714285714283,12.071428571428571,0.0,34.1,43.6,24.7,34.0,0.6583261344039761,1,0,0,0,0,0,0,0,0,0,0
2019-02-24,156,0.09,0.737,0.13,0.043,28.085714285714285,12.714285714285714,1.3142857142857145,33.6,43.2,23.0,31.0,0.6576371531201577,1,0,0,0,0,0,0,0,0,0,0
2019-03-03,133,0.09,0.737,0.13,0.043,28.071428571428573,10.842857142857142,3.142857142857143,33.5,35.3,21.9,26.0,0.6570359482452308,0,1,0,0,0,0,0,0,0,0,0
2019-03-10,109,0.05,0.639,0.238,0.074,28.342857142857145,13.357142857142858,0.0285714285714285,33.6,41.8,24.7,31.0,0.6860440431603403,0,1,0,0,0,0,0,0,0,0,0
2019-03-17,96,0.05,0.639,0.238,0.074,28.928571428571427,10.9,0.0,34.7,37.8,24.6,22.0,0.685746595180801,0,1,0,0,0,0,0,0,0,0,0
2019-03-24,99,0.05,0.639,0.238,0.074,28.52857142857143,10.22857142857143,3.857142857142857,34.8,41.0,22.3,24.0,0.6855532398645953,0,1,0,0,0,0,0,0,0,0,0
2019-03-31,108,0.05,0.639,0.238,0.074,28.842857142857145,9.828571428571427,1.2571428571428571,34.5,32.8,23.1,22.0,0.6853786670396627,0,1,0,0,0,0,0,0,0,0,0
2019-04-07,125,0.05,0.639,0.238,0.074,28.7,9.357142857142858,5.2,34.5,34.9,22.9,21.0,0.6852181562290159,0,0,1,0,0,0,0,0,0,0,0
2019-04-14,134,0.077,0.568,0.297,0.058,28.11428571428572,7.928571428571429,8.142857142857142,33.7,36.7,22.7,28.0,0.6950061105536706,0,0,1,0,0,0,0,0,0,0,0
2019-04-21,156,0.077,0.568,0.297,0.058,28.62857142857143,7.814285714285715,5.314285714285715,33.4,40.7,23.6,28.0,0.6948868675140546,0,0,1,0,0,0,0,0,0,0,0
2019-04-28,192,0.077,0.568,0.297,0.058,29.357142857142858,8.857142857142858,3.057142857142857,34.5,37.8,25.0,30.0,0.6947901393267457,0,0,1,0,0,0,0,0,0,0,0
2019-05-05,287,0.077,0.568,0.297,0.058,28.428571428571427,5.871428571428572,8.457142857142857,34.5,40.3,24.0,28.0,0.6948848963507741,0,0,0,1,0,0,0,0,0,0,0
2019-05-12,307,0.033,0.569,0.275,0.123,29.085714285714285,6.771428571428571,1.0285714285714287,34.3,34.9,25.6,33.0,0.704178192757644,0,0,0,1,0,0,0,0,0,0,0
2019-05-19,376,0.033,0.569,0.275,0.123,29.457142857142856,6.228571428571429,4.571428571428571,34.7,52.6,22.9,30.0,0.7039563361690176,0,0,0,1,0,0,0,0,0,0,0
2019-05-26,400,0.033,0.569,0.275,0.123,29.02857142857143,7.085714285714286,2.628571428571429,33.1,41.0,22.8,28.0,0.703450245589013,0,0,0,1,0,0,0,0,0,0,0
2019-06-02,396,0.033,0.569,0.275,0.123,29.27142857142857,8.4,0.8571428571428571,33.5,35.6,26.1,40.0,0.7027963580044054,0,0,0,0,1,0,0,0,0,0,0
2019-06-09,464,0.045,0.641,0.239,0.075,29.11428571428572,9.457142857142856,2.7142857142857144,33.0,43.9,25.2,35.0,0.6819587138749745,0,0,0,0,1,0,0,0,0,0,0
2019-06-16,430,0.045,0.641,0.239,0.075,27.728571428571428,7.485714285714286,7.571428571428571,32.6,37.8,24.2,37.0,0.6808547903684246,0,0,0,0,1,0,0,0,0,0,0
2019-06-23,492,0.045,0.641,0.239,0.075,28.957142857142856,9.44285714285714,3.7142857142857135,33.0,36.7,23.6,52.0,0.6802289658867562,0,0,0,0,1,0,0,0,0,0,0
2019-06-30,591,0.045,0.641,0.239,0.075,28.0,7.614285714285714,8.885714285714286,32.4,57.6,23.3,50.0,0.6796452773943085,0,0,0,0,1,0,0,0,0,0,0
2019-07-07,661,0.045,0.641,0.239,0.075,28.985714285714288,11.828571428571427,2.7142857142857144,32.5,43.2,23.9,42.0,0.6787507474403554,0,0,0,0,0,1,0,0,0,0,0
2019-07-14,644,0.024,0.697,0.207,0.072,29.25714285714286,12.0,0.0571428571428571,33.2,42.5,26.8,45.0,0.6666952871474323,0,0,0,0,0,1,0,0,0,0,0
2019-07-21,601,0.024,0.697,0.207,0.072,29.057142857142857,13.185714285714283,0.2571428571428571,32.9,42.1,24.8,51.0,0.664870510201049,0,0,0,0,0,1,0,0,0,0,0
2019-07-28,597,0.024,0.697,0.207,0.072,28.81428571428572,13.214285714285714,0.3714285714285714,32.7,44.6,23.9,50.0,0.6633461319404692,0,0,0,0,0,1,0,0,0,0,0
2019-08-04,521,0.024,0.697,0.207,0.072,28.77142857142857,11.2,1.0571428571428572,33.0,39.2,24.2,57.0,0.6615491823915226,0,0,0,0,0,0,1,0,0,0,0
2019-08-11,522,0.014,0.722,0.175,0.089,29.442857142857143,14.614285714285714,0.0,33.4,47.2,26.7,60.0,0.6565795067543552,0,0,0,0,0,0,1,0,0,0,0
2019-08-18,474,0.014,0.722,0.175,0.089,29.185714285714287,16.04285714285714,0.5714285714285714,32.9,40.7,27.2,47.0,0.6549791894056826,0,0,0,0,0,0,1,0,0,0,0
2019-08-25,412,0.014,0.722,0.175,0.089,29.585714285714285,16.257142857142856,0.0,33.3,42.5,27.2,48.0,0.6534655643437893,0,0,0,0,0,0,1,0,0,0,0
2019-09-01,326,0.014,0.722,0.175,0.089,29.32857142857143,15.628571428571428,0.5428571428571428,34.0,44.3,25.7,41.0,0.6520277135886768,0,0,0,0,0,0,0,1,0,0,0
2019-09-08,314,0.031,0.656,0.257,0.055,28.25714285714286,11.828571428571427,0.5714285714285714,33.2,43.6,24.5,36.0,0.6622758786568997,0,0,0,0,0,0,0,1,0,0,0
2019-09-15,299,0.031,0.656,0.257,0.055,29.442857142857143,16.04285714285714,0.0,33.8,42.5,24.7,40.0,0.6615890783054832,0,0,0,0,0,0,0,1,0,0,0
2019-09-22,258,0.031,0.656,0.257,0.055,29.2,13.971428571428572,0.0,33.8,41.0,27.0,41.0,0.660832291642982,0,0,0,0,0,0,0,1,0,0,0
2019-09-29,243,0.031,0.656,0.257,0.055,29.24285714285714,15.814285714285717,0.0,33.9,46.1,26.4,37.0,0.6602685989327052,0,0,0,0,0,0,0,1,0,0,0
2019-10-06,227,0.031,0.656,0.257,0.055,28.442857142857143,8.885714285714284,3.057142857142857,34.3,47.2,22.9,31.0,0.6597348780741339,0,0,0,0,0,0,0,0,1,0,0
2019-10-13,239,0.058,0.563,0.332,0.047,27.67142857142857,8.957142857142857,2.2857142857142856,33.9,51.8,22.9,30.0,0.679750930177253,0,0,0,0,0,0,0,0,1,0,0
2019-10-20,241,0.058,0.563,0.332,0.047,28.32857142857143,7.928571428571429,1.8,33.8,38.2,23.6,36.0,0.6794349746068544,0,0,0,0,0,0,0,0,1,0,0
2019-10-27,306,0.058,0.563,0.332,0.047,28.87142857142857,8.7,1.1428571428571428,34.4,48.6,26.0,32.0,0.6793590351971567,0,0,0,0,0,0,0,0,1,0,0
2019-11-03,321,0.058,0.563,0.332,0.047,27.77142857142857,6.371428571428572,18.057142857142857,33.3,36.4,23.1,30.0,0.6790086530287631,0,0,0,0,0,0,0,0,0,1,0
2019-11-10,372,0.027,0.576,0.299,0.098,28.1,6.628571428571428,4.285714285714286,33.4,45.4,22.9,37.0,0.6822052560170419,0,0,0,0,0,0,0,0,0,1,0
2019-11-17,328,0.027,0.576,0.299,0.098,28.77142857142857,7.042857142857143,0.7714285714285714,33.7,39.2,24.0,40.0,0.6815449122076722,0,0,0,0,0,0,0,0,0,1,0
2019-11-24,295,0.027,0.576,0.299,0.098,28.428571428571427,6.957142857142857,0.1714285714285714,34.4,37.4,24.7,34.0,0.6809856994505233,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,280,0.027,0.576,0.299,0.098,26.985714285714288,6.9,3.2,34.0,33.5,24.2,35.0,0.6805411379600707,0,0,0,0,0,0,0,0,0,0,1
2019-12-08,257,0.049,0.451,0.407,0.093,27.714285714285715,7.357142857142857,13.371428571428572,33.0,34.9,24.0,30.0,0.7083311709765246,0,0,0,0,0,0,0,0,0,0,1
2019-12-15,226,0.049,0.451,0.407,0.093,27.47142857142857,12.0,8.971428571428572,31.9,42.8,23.9,29.0,0.7079585422605742,0,0,0,0,0,0,0,0,0,0,1
2019-12-22,290,0.049,0.451,0.407,0.093,24.914285714285715,7.471428571428571,43.4,31.1,41.8,22.7,32.0,0.707944083406911,0,0,0,0,0,0,0,0,0,0,1
2019-12-29,302,0.049,0.451,0.407,0.093,26.5,7.6571428571428575,7.442857142857142,31.1,37.4,23.2,33.0,0.7076884851693781,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,342,0.003,0.423,0.343,0.231,27.542857142857144,11.314285714285717,0.3999999999999999,31.7,37.1,24.7,29.0,0.7288490499779908,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,402,0.089,0.397,0.467,0.048,27.81428571428572,12.12857142857143,0.0,32.2,43.2,25.1,37.0,0.7145065626613284,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,307,0.089,0.397,0.467,0.048,27.15714285714285,9.828571428571427,2.6,32.3,40.7,23.8,42.0,0.7137356175274036,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,370,0.089,0.397,0.467,0.048,27.97142857142857,12.171428571428573,0.0,32.8,36.7,24.6,32.0,0.7135985232183244,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,400,0.089,0.397,0.467,0.048,27.97142857142857,13.585714285714284,2.0285714285714285,32.8,38.5,24.3,34.0,0.7132815202704629,1,0,0,0,0,0,0,0,0,0,0
2020-02-09,378,0.177,0.269,0.474,0.081,27.9,12.94285714285714,8.0,32.6,40.3,23.8,29.0,0.7395115079787041,1,0,0,0,0,0,0,0,0,0,0
2020-02-16,380,0.177,0.269,0.474,0.081,27.61428571428572,11.728571428571428,2.085714285714286,32.3,41.0,23.7,49.0,0.7392050864074066,1,0,0,0,0,0,0,0,0,0,0
2020-02-23,373,0.177,0.269,0.474,0.081,27.87142857142857,10.228571428571428,3.4,32.8,35.3,24.2,53.0,0.7388754525429574,1,0,0,0,0,0,0,0,0,0,0
2020-03-01,375,0.177,0.269,0.474,0.081,27.82857142857143,14.3,3.142857142857143,33.1,46.4,24.1,38.0,0.7385791005869692,0,1,0,0,0,0,0,0,0,0,0
2020-03-08,389,0.134,0.316,0.43,0.12,28.085714285714285,13.928571428571429,0.6571428571428571,32.7,45.7,25.1,39.0,0.7331959547698018,0,1,0,0,0,0,0,0,0,0,0
2020-03-15,367,0.134,0.316,0.43,0.12,28.27142857142857,10.085714285714284,5.714285714285714,33.9,36.7,24.3,36.0,0.7329158178932846,0,1,0,0,0,0,0,0,0,0,0
2020-03-22,377,0.134,0.316,0.43,0.12,29.0,11.0,0.0,34.0,39.6,25.2,34.0,0.7327426052674184,0,1,0,0,0,0,0,0,0,0,0
2020-03-29,315,0.134,0.316,0.43,0.12,28.47142857142857,11.328571428571427,6.971428571428571,33.7,44.6,24.4,42.0,0.7323556295558181,0,1,0,0,0,0,0,0,0,0,0
2020-04-05,341,0.134,0.316,0.43,0.12,28.6,9.971428571428572,2.857142857142857,33.6,37.1,24.1,32.0,0.7322620485697218,0,0,1,0,0,0,0,0,0,0,0
2020-04-12,360,0.06,0.393,0.426,0.121,29.12857142857143,9.771428571428572,8.142857142857142,34.6,42.6,24.0,30.0,0.7193895217887438,0,0,1,0,0,0,0,0,0,0,0
2020-04-19,399,0.06,0.393,0.426,0.121,28.52857142857143,8.285714285714286,3.942857142857143,33.2,37.0,23.8,28.0,0.7192241589968551,0,0,1,0,0,0,0,0,0,0,0
2020-04-26,390,0.06,0.393,0.426,0.121,29.585714285714285,10.014285714285716,0.0,33.9,37.0,26.4,41.0,0.7188805523718589,0,0,1,0,0,0,0,0,0,0,0
2020-05-03,502,0.06,0.393,0.426,0.121,28.857142857142858,7.714285714285714,1.5714285714285714,34.3,33.3,25.1,35.0,0.7189149781486928,0,0,0,1,0,0,0,0,0,0,0
2020-05-10,524,0.054,0.534,0.294,0.118,27.8,5.828571428571428,16.54285714285714,33.1,35.2,24.4,38.0,0.6880736788986708,0,0,0,1,0,0,0,0,0,0,0
2020-05-17,618,0.054,0.534,0.294,0.118,29.0,7.8,15.028571428571428,34.5,42.6,23.6,48.0,0.6879586867541628,0,0,0,1,0,0,0,0,0,0,0
2020-05-24,731,0.054,0.534,0.294,0.118,29.12857142857143,9.128571428571428,10.285714285714286,32.8,46.3,24.6,45.0,0.6878322958208047,0,0,0,1,0,0,0,0,0,0,0
2020-05-31,868,0.054,0.534,0.294,0.118,28.857142857142858,6.171428571428572,4.542857142857143,34.0,33.3,24.9,46.0,0.6876993316520634,0,0,0,1,0,0,0,0,0,0,0
2020-06-07,1151,0.054,0.534,0.294,0.118,29.17142857142857,7.242857142857142,3.314285714285714,33.5,37.0,23.8,61.0,0.687927241975515,0,0,0,0,1,0,0,0,0,0,0
2020-06-14,1369,0.042,0.49,0.362,0.106,28.11428571428572,7.085714285714286,14.342857142857143,33.0,35.2,24.0,75.0,0.6964393346474649,0,0,0,0,1,0,0,0,0,0,0
2020-06-21,1460,0.042,0.49,0.362,0.106,28.585714285714285,8.819275041667073,4.571428571428571,33.0,50.0,24.2,86.0,0.6956099617873823,0,0,0,0,1,0,0,0,0,0,0
2020-06-28,1444,0.042,0.49,0.362,0.106,27.642857142857142,6.228571428571429,6.942857142857142,32.3,37.0,23.7,94.0,0.6944137959541051,0,0,0,0,1,0,0,0,0,0,0
2020-07-05,1665,0.042,0.49,0.362,0.106,27.885714285714283,9.414285714285716,6.342857142857143,32.0,42.6,23.7,87.0,0.6939653276814868,0,0,0,0,0,1,0,0,0,0,0
2020-07-12,1725,0.034,0.44,0.406,0.121,28.842857142857145,11.428571428571429,1.4857142857142858,32.4,35.2,24.6,76.0,0.7059235792040945,0,0,0,0,0,1,0,0,0,0,0
2020-07-19,1791,0.034,0.44,0.406,0.121,27.65714285714285,7.685714285714285,3.3142857142857145,32.1,37.0,24.5,89.0,0.7048261570465125,0,0,0,0,0,1,0,0,0,0,0
2020-07-26,1376,0.034,0.44,0.406,0.121,27.74285714285714,7.6,2.457142857142857,32.2,35.2,24.9,100.0,0.7023931667987839,0,0,0,0,0,1,0,0,0,0,0
2020-08-02,1667,0.034,0.44,0.406,0.121,28.071428571428573,9.171428571428573,7.8,32.5,53.7,23.7,89.0,0.7022375515673409,0,0,0,0,0,0,1,0,0,0,0
2020-08-09,1336,0.026,0.48,0.393,0.1,27.942857142857143,8.9,6.257142857142857,31.7,42.6,23.9,87.0,0.6879933561693906,0,0,0,0,0,0,1,0,0,0,0
2020-08-16,1285,0.026,0.48,0.393,0.1,29.11428571428572,10.314285714285717,0.6857142857142857,32.9,44.4,24.1,73.0,0.6868470931503385,0,0,0,0,0,0,1,0,0,0,0
2020-08-23,1153,0.026,0.48,0.393,0.1,28.185714285714287,8.371428571428572,6.914285714285716,33.0,40.7,22.5,68.0,0.6855387787895256,0,0,0,0,0,0,1,0,0,0,0
2020-08-30,937,0.026,0.48,0.393,0.1,27.67142857142857,8.357142857142858,5.371428571428571,33.0,48.2,23.0,65.0,0.684121675549924,0,0,0,0,0,0,1,0,0,0,0
2020-09-06,725,0.026,0.48,0.393,0.1,27.928571428571427,9.2,1.8,32.4,51.9,24.0,56.0,0.6828844835002343,0,0,0,0,0,0,0,1,0,0,0
2020-09-13,671,0.004,0.522,0.347,0.127,27.585714285714285,8.014285714285714,8.657142857142857,32.2,40.7,22.8,46.0,0.6777400458211618,0,0,0,0,0,0,0,1,0,0,0
